Country,WB_Rate,WB_Year,WTO_Rate,WTO_Year,UNCTAD_Rate,UNCTAD_Year
WORLD,2.59,2017,,,,
Aruba,9.66,2021,,,10.8,2021
Afghanistan,5.63,2018,6.5,2018,6.49,2018
Angola,11.33,2021,10.9,2021,8.4,2021
Anguilla,,,,,13.14,2021
Albania,1.13,2021,3.6,2021,0.78,2021
United Arab Emirates,2.63,2021,4.8,2021,3.09,2021
Argentina,6.51,2021,13.4,2021,7.4,2021
Armenia,3.61,2021,6.3,2021,3.54,2021
Antigua and Barbuda,13.07,2021,9.9,2021,12.95,2021
Australia,0.81,2021,2.4,2021,0.84,2021
Austria,1.39,2021,,EU member,0.96,2021
Azerbaijan,6.01,2021,8.5,2021,6.16,2021
Burundi,8.53,2021,12.8,2021,5.78,2021
Belgium,1.39,2021,,EU member,1.33,2021
Benin,10.89,2021,12.1,2021,8.61,2021
Burkina Faso,7.3,2021,12.1,2021,7.98,2021
Bangladesh,10.95,2021,14.0,2021,13.11,2021
Bulgaria,1.39,2021,,EU member,1.28,2019
Bahrain,2.09,2021,4.8,2021,3.16,2021
Bahamas,17.05,2018,32.5,2018,24.75,2018
Bosnia and Herzegovina,2.8,2021,6.4,2021,2.15,2021
Belarus,2.27,2021,6.7,2021,1.94,2021
Belize,17.79,2021,11.9,2021,10.32,2021
Bermuda,23.84,2021,,,20.8,2021
Bolivia,5.12,2021,11.8,2021,5.43,2021
Brazil,7.76,2021,13.3,2021,8.79,2021
Barbados,12.24,2021,11.7,2021,8.44,2021
Brunei,0.02,2021,0.3,2021,0.03,2021
Bhutan,3.33,2021,9.7,2021,3.09,2021
Botswana,0.95,2021,7.7,2021,1.28,2021
Central African Republic,16.44,2017,18.0,2017,16.21,2017
Canada,2.35,2021,4.0,2021,1.63,2021
Switzerland,1.4,2021,5.6,2021,0.18,2021
Chile,0.43,2021,6.0,2021,0.45,2021
China,2.31,2021,7.5,2021,2.12,2021
Ivory Coast,7.63,2021,12.1,2021,8.82,2021
Cameroon,15.46,2019,18.2,2019,13.75,2019
Democratic Republic of the Congo,8.4,2020,10.9,2020,8.17,2020
Republic of the Congo,11.55,2015,,,9.91,2015
Cook Islands,,,3.5,2021,0.59,2021
Colombia,2.58,2021,5.8,2021,2.68,2021
Comoros,4.34,2021,15.1,2021,4.78,2021
Cape Verde,9.96,2021,10.2,2021,8.33,2021
Costa Rica,1.43,2021,5.6,2021,0.88,2021
Cuba,8.91,2021,4.4,2021,10.18,2021
Cayman Islands,20.39,2021,,,19.42,2021
Cyprus,1.39,2021,,EU member,1.46,2021
Czech Republic,1.39,2021,,EU member,1.14,2021
Germany,1.39,2021,,EU member,1.39,2021
Djibouti,17.56,2014,,,19.59,2014
Dominica,7.84,2020,10.7,2020,9.93,2020
Denmark,1.39,2021,,EU member,1.95,2021
Dominican Republic,3.8,2021,7.5,2021,4.3,2021
Algeria,10.29,2021,19.0,2021,10.25,2021
Ecuador,4.63,2021,11.2,2021,5.05,2021
Egypt,10.43,2019,19.0,2019,5.7,2019
Eritrea,5.43,2006,,,7.11,2006
Spain,1.39,2021,,EU member,1.73,2021
Estonia,1.39,2021,,EU member,2.1,2021
Ethiopia,12.66,2021,17.0,2021,12.76,2021
Finland,1.39,2021,,EU member,1.35,2021
Fiji,8.35,2021,7.9,2021,4.16,2021
France,1.39,2021,,EU member,1.53,2021
Federated States of Micronesia,,,5.1,2021,,
Gabon,14.5,2019,17.7,2019,14.11,2019
United Kingdom,0.72,2021,3.9,2021,0.64,2021
Georgia,0.34,2021,1.4,2021,0.03,2021
Ghana,10.51,2021,12.1,2021,9.89,2021
Guinea,12.26,2021,12.1,2021,11.29,2021
Gambia,17.69,2021,12.1,2021,17.8,2021
Guinea-Bissau,11.82,2021,12.1,2021,10.32,2021
Equatorial Guinea,15.63,2007,,,14.51,2007
Greece,1.39,2021,,EU member,1.92,2021
Grenada,10.79,2019,11.0,2019,9.07,2019
Guatemala,1.72,2021,5.6,2021,1.77,2021
Guyana,4.73,2021,11.7,2021,3.97,2021
Hong Kong,0.0,2021,0.0,2021,0.0,2021
Honduras,2.85,2021,5.8,2021,2.67,2021
